Reviewer_Name,Review_Body,Review_Date,Rating,Country,Helpful_Tag,Travel Category,Require_Translate,City,Attraction_Rank,Year,Month
CHUI LEE,"Just show your voucher to enter, no need to print, redemption is smooth and very convenient",2021-08-01,5,,Helpful,,True,Barcelona,top2,2021,August
CHUI LEE,"Just show your voucher to enter, no need to print, redemption is smooth and very convenient",2021-08-01,5,,Helpful,,True,Barcelona,top2,2021,August
Marionne Lois,This was really really really really fun!!!!!!!!!!!!!!!!,2021-08-04,5,,Helpful,,False,Barcelona,top2,2021,August
Edmund,This was really really really really fun!!!!!!!!!!!!!!!!,2021-08-04,5,,Helpful,,False,Barcelona,top2,2021,August
Hsuehpai,"After the day passed, we found that we couldn't enter the park because of the strong wind. The customer service staff immediately helped us handle the refund! Thanks",2021-08-27,5,,Helpful,,True,Barcelona,top2,2021,August
Hsuehpai,"After the day passed, we found that we couldn't enter the park because of the strong wind. The customer service staff immediately helped us handle the refund! Thanks",2021-08-27,5,,Helpful,,True,Barcelona,top2,2021,August
trang,It was nice because i can enter without being waiting on the queue.,2021-08-30,5,,Helpful,,False,Barcelona,top2,2021,August
trang,It was nice because i can enter without being waiting on the queue.,2021-08-30,5,,Helpful,,False,Barcelona,top2,2021,August
SEUNGHYUN,"Barcelona, ​​Spain is always great",2021-09-04,3,,Helpful,,True,Barcelona,top2,2021,September
SEUNGHYUN,"Barcelona, ​​Spain is always great",2021-09-04,3,,Helpful,,True,Barcelona,top2,2021,September
Bongcho,"I visited just before the scorching midday sun set, so it was relatively quiet and I was able to look around at my leisure. It was a memorable trip as the meticulous designs of Gaudí, a perfectionist, were very impressive as an extension of his other works.",2021-09-15,5,,Helpful,,True,Barcelona,top2,2021,September
Bongcho,"I visited just before the scorching midday sun set, so it was relatively quiet and I was able to look around at my leisure. It was a memorable trip as the meticulous designs of Gaudí, a perfectionist, were very impressive as an extension of his other works.",2021-09-15,5,,Helpful,,True,Barcelona,top2,2021,September
Annie Soh Hong,It was so easy to purchase the tickets via Klook app and present the tickets via the app. Enjoy the visit,2021-09-27,5,,Helpful,,False,Barcelona,top2,2021,September
Annie Soh Hong,It was so easy to purchase the tickets via Klook app and present the tickets via the app. Enjoy the visit,2021-09-27,5,,Helpful,,False,Barcelona,top2,2021,September
Hsi Huang,"It's worth it just to not have to wait in a long line. It's very convenient and fast, and it's relatively easy to use. Highly recommend.",2021-10-08,5,,Helpful,,True,Barcelona,top2,2021,October
Hsi Huang,"It's worth it just to not have to wait in a long line. It's very convenient and fast, and it's relatively easy to use. Highly recommend.",2021-10-08,5,,Helpful,,True,Barcelona,top2,2021,October
Justin Lou,one of the best highlights of my trip and it wont be possible without the less hassle booking on klook,2021-10-17,5,,Helpful,,False,Barcelona,top2,2021,October
Justin Lou,one of the best highlights of my trip and it wont be possible without the less hassle booking on klook,2021-10-17,5,,Helpful,,False,Barcelona,top2,2021,October
Anonymous,There are no comments available for this review,2021-10-21,5,,,,False,Barcelona,top1,2021,October
Anonymous,"Quick access to the Sagrada Familia. The downloaded audio guide is practical. Small downside: there are several applications for the Sagrada Familia. I hadn't downloaded the correct one and my codes didn't work. When I contacted musement, they should have told me which app was right",2021-10-21,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-22,5,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-22,5,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-22,4,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-22,5,,,,False,Barcelona,top1,2021,October
Anonymous,Amazing,2021-10-22,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-23,5,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-23,4,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-23,5,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-23,4,,,,False,Barcelona,top1,2021,October
Anonymous,A wonder inspired by the Holy Spirit through Gaudí in the beautiful city of Barcelona Spain...!!!,2021-10-23,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-24,5,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-24,5,,,,False,Barcelona,top1,2021,October
Anonymous,Confusing too many people,2021-10-24,4,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,Very impressive! Stunning! A must for Barcelona travelers,2021-10-24,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-25,5,,,,False,Barcelona,top1,2021,October
Anonymous,"The cathedral is sublime! Emotions and sensations of wonder at every corner of the monument. However, the audio guide service needs improvement.",2021-10-25,4,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,"Very good at organisation. Simple but effective safety and anti-covid checks. The museum is fantastic, full of amazing works of art. Not to be missed.",2021-10-25,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-26,5,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-26,4,,,,False,Barcelona,top1,2021,October
Anonymous,"A visit to the Sagrada Familia is essential in Barcelona. Purchasing the tickets in advance was a great idea, because there was no waiting in line or returning the next day. The impressive temple. It doesn't matter whether you are Catholic or not, the important thing is to know Gaudí's work.",2021-10-26,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,Speechless! It is a wonder!!!,2021-10-26,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,"A visit to the Sagrada Familia is essential in Barcelona. Purchasing the tickets in advance was a great idea, because there was no waiting in line or returning the next day. The impressive temple. It doesn't matter whether you are Catholic or not, the important thing is to know Gaudí's work.",2021-10-26,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-27,5,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-27,5,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-28,5,,,,False,Barcelona,top1,2021,October
Anonymous,"Absolutely beautiful, magnificent",2021-10-28,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-29,4,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-29,5,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-29,5,,,,False,Barcelona,top1,2021,October
Anonymous,"Magnificent visit very well organized once you enter the building
Note a problem with flow management because despite the ticket reserved at a fixed time we had to queue for around 25 minutes, which is long with young children.",2021-10-29,4,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,Magical moment of serenity bathed in light,2021-10-29,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,"Explanations provided by the audio guide in your language.
The architecture is impressive, you can spend hours seeing all the details. In addition, light and sound are highlighted by a specific construction.
A word of advice, go there in the afternoon to enjoy the light effects",2021-10-29,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,Magnificent,2021-10-29,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-30,5,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-30,4,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-30,3,,,,False,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-30,5,,,,False,Barcelona,top1,2021,October
Anonymous,Superb site....moving...,2021-10-30,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,"Visit well. Too bad we had to insist a lot to have an audio guide! On site, we wanted to take the guided tour with an application on our cell phone. This is not what was planned when booking!",2021-10-30,4,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,A truly magnificent visit not to be forgotten,2021-10-30,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,"The Sagrada is unique! Nothing to compare it to. Incredible both in architecture and in ""vision"". Gaudi was a seer, a scientist and above all an artist.
Upon entering I was overwhelmed by......everything actually. Never been so ""touched"" by architecture. Beautiful!",2021-10-30,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,There are no comments available for this review,2021-10-31,5,,,,False,Barcelona,top1,2021,October
Anonymous,"Tickets purchased in advance for 5:15 p.m. Admission queue is still very long due to security checks. Entry time is therefore completely irrelevant! Audio guide broken, replaced, broken again. The viewing period ends at 6:15 p.m.; not 7 p.m.",2021-10-31,3,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,"I really liked the entire visit, the Sagrada Familia is impressive, magical. Everything very well organized.",2021-10-31,5,,Helpful,,True,Barcelona,top1,2021,October
Anonymous,"Very well organized, the reception agents were present to help us connect to the application, a big congratulations to them, congratulations to the whole team",2021-10-31,5,,Helpful,,True,Barcelona,top1,2021,October
Marilet Lian,"Package inclusions was not updated. It says it includes Bus Guell to and from Alfons X station; however, because of the pandemic, the ride is currently not operating. We were waiting for a couple of minutes at the station without any clue if the bus is coming or not.",2021-11-01,1,,Helpful,,False,Barcelona,top2,2021,November
Marilet Lian,"Package inclusions was not updated. It says it includes Bus Guell to and from Alfons X station; however, because of the pandemic, the ride is currently not operating. We were waiting for a couple of minutes at the station without any clue if the bus is coming or not.",2021-11-01,1,,Helpful,,False,Barcelona,top2,2021,November
Anonymous,There are no comments available for this review,2021-11-02,5,,,,False,Barcelona,top1,2021,November
Anonymous,Very good service and very clear instructions,2021-11-02,5,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-03,4,,,,False,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-03,5,,,,False,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-03,5,,,,False,Barcelona,top1,2021,November
Anonymous,"essential when visiting Barcelona to visit with audio guide or the dedicated application
to this monument",2021-11-03,4,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-04,4,,,,False,Barcelona,top1,2021,November
Anonymous,"what a marvel, we had already come 11 years ago, and we see that the work has progressed well, perhaps one day we will see it finished.",2021-11-04,5,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,"I had already been here more than 20 years ago.
Things have changed a lot, the work inside is finished and the general impression upon entering is breathtaking!",2021-11-04,5,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-05,5,,,,False,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-05,5,,,,False,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-06,5,,,,False,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-06,5,,,,False,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-07,5,,,,False,Barcelona,top1,2021,November
Anonymous,The price is very high.!!,2021-11-07,3,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-08,5,,,,False,Barcelona,top1,2021,November
Anonymous,"Everything as planned, without any setbacks.",2021-11-08,5,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,"Spectacular!!
with the sunset lights the windows are breathtaking",2021-11-08,5,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-09,4,,,,False,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-09,4,,,,False,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-09,5,,,,False,Barcelona,top1,2021,November
Anonymous,"The Sagrada Familia is one of the most impressive churches in the world. The architecture developed by Gaudi is not only visible from the outside, but also unfolds its full genius inside the church. The light in combination with the colorful windows is particularly impressive.",2021-11-09,5,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,Extraordinary visit to the Sagrada Familia. I will go back there.,2021-11-09,5,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,"Very warm welcome by the staff who guided us to configure our iplones. Many thanks for your valuable help and sympathy.
Bravo for your work and your welcome.",2021-11-09,5,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,"Very warm welcome by the staff who guided us to configure our iplones. Many thanks for your valuable help and sympathy.
Bravo for your work and your welcome.",2021-11-09,5,,Helpful,,True,Barcelona,top1,2021,November
Anonymous,There are no comments available for this review,2021-11-10,4,,,,False,Barcelona,top1,2021,November
