Reviewer_Name,Review_Body,Review_Date,Rating,Country,Helpful_Tag,Travel Category,Require_Translate
Ana,"Interesting place to visit, preferably in the morning 9 a.m. as the crowd on the stairs is bigger the later it gets (if you go in the morning go left at the entrance to go first to the stars and columns then go back and start over to catch everything) . The only down side is there is only a QR code with the map and if your internet is slow it is not very accessible, no printed version available.",2024-03-16,5,Serbia,Helpful,family,False
Anonymous,had a hard time accessing the tickets at venue,2024-03-16,4,,Helpful,a partner or spouse,False
Rivara,There are no comments available for this review,2024-03-16,4,Italy,,friends,False
Agnieszka,wspaniała architektura i natura,2024-03-16,5,Poland,Helpful,a partner or spouse,True
Salvina,There are no comments available for this review,2024-03-16,5,Italy,,family,False
Anonymous,There are no comments available for this review,2024-03-16,5,,,,False
Linas,There are no comments available for this review,2024-03-16,5,Lithuania,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-03-15,5,,,,False
Eszter,There are no comments available for this review,2024-03-15,5,Hungary,,friends,False
Ernesto Javier,Excelente paseo,2024-03-15,5,Mexico,Helpful,a partner or spouse,True
Christiane,There are no comments available for this review,2024-03-15,3,Germany,,family,False
Anonymous,There are no comments available for this review,2024-03-15,5,,,a partner or spouse,False
Susan,It was a great experience. It was self guided so quality of service wasn’t applicable. Beautiful park.,2024-03-14,5,Spain,Helpful,family,False
Thierry,"Il y avait beaucoup trop de monde. En milieu de semaine au mois de mars, j espérais beaucoup mieux. Un sur tourisme insupportable.",2024-03-14,3,France,Helpful,a partner or spouse,True
jacqueline,"Un peu déçue par le site à part le côté de la sortie qui est magnifique, le reste du parc un peu banal",2024-03-14,4,France,Helpful,family,True
Neil,"Only one very small toilet - luckily the park wasn't busy when I went, but there was still a queue. Buy your tickets directly from the park website without the booking markup.",2024-03-14,5,Netherlands,Helpful,family,False
Anonymous,There are no comments available for this review,2024-03-14,4,,,,False
Sofia,There are no comments available for this review,2024-03-14,5,Bulgaria,,colleagues,False
Anonymous,There are no comments available for this review,2024-03-14,1,,,,False
Norbert,"Wir hatten Karten für 9:30 und das war auch gut so. Später waren sehr viel mehr Leute da und es war unmöglich Fotos ohne viele Mitbesucher zu machen. Die Wegführung war verwirrend. Wir durften zum Beispiel nicht den gleichen Weg wieder zurück gehen, obwohl nicht viel los war. Stattdessen mussten wir einen großen Bogen laufen. Wäre alles nicht schlimm, wenn man es vorher gewusst hätte. Trotzdem war der Besuch sehr schön und wir sind froh das wir dort waren.",2024-03-14,4,Germany,Helpful,a partner or spouse,True
Gregoria,C’était super Belle endroit intéressant,2024-03-13,5,Canada,Helpful,solo,True
Brigida,"Parque lindo, pena as escadas rolantes de acesso estarem em obras. Muitas filas",2024-03-13,5,Portugal,Helpful,family,True
Edra,There are no comments available for this review,2024-03-13,5,Albania,,friends,False
Jean,There are no comments available for this review,2024-03-13,4,United Kingdom,,friends,False
Anonymous,There are no comments available for this review,2024-03-13,5,,,,False
alma lidia,Nos encanto!,2024-03-13,5,Mexico,Helpful,friends,True
Lisnelis josefina,"Un lugar muy bonito y limpio, para tomarte fotos y conocer el estilo y arquitectura de gaudi",2024-03-13,5,Spain,Helpful,solo,True
Oscar,There are no comments available for this review,2024-03-12,5,Chile,,family,False
David,Well worth a visit. Unfortunately the Gaudi museum is closed at the moment,2024-03-12,4,United Kingdom,Helpful,a partner or spouse,False
Garabagiu,There are no comments available for this review,2024-03-12,5,Moldova,,friends,False
Sabrina,There are no comments available for this review,2024-03-12,1,Italy,,friends,False
Anonymous,There are no comments available for this review,2024-03-12,4,,,a partner or spouse,False
Тодор,There are no comments available for this review,2024-03-12,5,Bulgaria,,family,False
Anonymous,There are no comments available for this review,2024-03-12,4,,,,False
CATHERINE,There are no comments available for this review,2024-03-12,5,France,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-03-12,5,,,,False
barbara,There are no comments available for this review,2024-03-11,5,Germany,,friends,False
Patrik,There are no comments available for this review,2024-03-11,5,Czech Republic,,friends,False
Marvin,"It's a must visit place! Definitely great for a morning walk , the park is huge!",2024-03-11,4,Mexico,Helpful,solo,False
Stuart,There are no comments available for this review,2024-03-11,5,,,solo,False
sanjeet,There are no comments available for this review,2024-03-11,5,Ireland,,family,False
Anonymous,There are no comments available for this review,2024-03-11,4,,,,False
MElinda,Park was too crowded and unfortunately could not see properly the beauty of the mosaic since someone was covering it.,2024-03-11,4,United Kingdom,Helpful,a partner or spouse,False
Sandra,Ik miste wat uitleg bij de verschillende bezienswaardigheden in het park. Voor de rest was het prachtig en heb ik genoten,2024-03-11,4,,Helpful,solo,True
Fabio,There are no comments available for this review,2024-03-11,4,Italy,,a partner or spouse,False
Elina,Det er for lidt toilettet . Parken er dejligt.,2024-03-11,4,Denmark,Helpful,friends,True
Anonymous,The road we walked to get up to Park Guell was awful . There was about 1000 steps 😅 The escalator wasn’t working . We didn’t know there were other entrances in,2024-03-11,5,,Helpful,a partner or spouse,False
Kerli,There are no comments available for this review,2024-03-11,3,Estonia,,family,False
Elena,"Il costo è alto per visitare un parco famoso così affollato (veramente tanto) e lontano dal centro. Campeggiano turisti su opere che vorresti vedere o fotografare. Mangiano, bevono si siedono e non si muovono, costringendo a chi vuole stare giusto il tempo di ammirare e fare una foto a fare file e farsi spazio tra di loro. Purtroppo è mal servito con i trasporti, essendo in salita la strada a piedi è infattibile, l'autobus non ferma davanti ma lateralmente e ovviamente è super affollato pure quello. La metro ferma lontano e devi comunque andare in salita. Ora che l'ho visto una volta, non tornerei una seconda.",2024-03-10,4,Italy,Helpful,a partner or spouse,True
Sigurdur Ingi,There are no comments available for this review,2024-03-10,5,Spain,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-03-10,5,,,,False
Ian,There are no comments available for this review,2024-03-10,5,United Kingdom,,a partner or spouse,False
Adrián,There are no comments available for this review,2024-03-10,5,Slovakia,,family,False
Anonymous,"Beautiful place, many spots with beautiful views, very photogenic:-) I recommend to study a bit about the place in advance, in order to know where to find what. The area around the little dragon gets crowded soon, it seems that it’s better to be there early in the morning.",2024-03-10,5,,Helpful,family,True
Anonymous,There are no comments available for this review,2024-03-10,5,,,,False
Majerová,There are no comments available for this review,2024-03-10,5,,,friends,False
Jana,There are no comments available for this review,2024-03-10,5,Slovenia,,friends,False
Joe,It was more than I expected. Fun for everyone.,2024-03-09,5,United States,Helpful,friends,False
Anonymous,There are no comments available for this review,2024-03-09,4,,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-03-09,5,,,,False
Manuel,There are no comments available for this review,2024-03-09,5,France,,a partner or spouse,False
Birgit,There are no comments available for this review,2024-03-09,4,,,a pet,False
Katarzyna,"Przepiękne miejsce na spacer, duża kolejka na wejścia do Casa del Guarda.",2024-03-09,5,United Kingdom,Helpful,a partner or spouse,True
Sabourin,There are no comments available for this review,2024-03-08,5,Belgium,,,False
Liene,There are no comments available for this review,2024-03-08,5,Latvia,,family,False
Marigona,There are no comments available for this review,2024-03-08,5,Kosovo,,family,False
Anonymous,There are no comments available for this review,2024-03-08,3,,,,False
Anonymous,There are no comments available for this review,2024-03-08,5,,,family,False
Emma,There are no comments available for this review,2024-03-08,4,Italy,,a partner or spouse,False
Jozef,There are no comments available for this review,2024-03-07,5,Slovakia,,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-03-07,5,,,,False
Monica,Minunat!! Mai venim!!,2024-03-07,5,Romania,Helpful,friends,True
Ana,"Ništa nije popločano ili asfaltirano, prašine koliko hoćeš....",2024-03-07,3,Serbia,Helpful,family,True
Anete,There are no comments available for this review,2024-03-07,4,Latvia,,a partner or spouse,False
Andrei,There are no comments available for this review,2024-03-07,5,Cyprus,,a partner or spouse,False
Fidel Ignacio,"Visita libre , todo bien, lo recomiendo",2024-03-06,5,Chile,Helpful,solo,True
Kristina,"Labai gražus parkas ,bilietus pirkome iš anksto,tad išvengėme eilių ir sutaupėme laiko. Rekomenduojame aplankyti🙂",2024-03-06,5,Lithuania,Helpful,family,True
Claudio,"Il parco è molto bello, da visitare con tutta calma (circa 3 ore) per godere di tutte le particolarità e fare foto tra un turista e l’altro…",2024-03-06,5,Italy,Helpful,a partner or spouse,True
