Reviewer_Name,Review_Body,Review_Date,Rating,Country,Helpful_Tag,Travel Category,Require_Translate
Matteo,"Tour molto interessante, l'offerta a questo servizio è volontaria. La guida si è mostrata molto competente e istruita, ti danno l'opportunità di visitare le strade principali del centro storico di Firenze ripercorrendo il periodo storico che l'ha segnata, in aggiunta a suggerimenti molto utili su cosa vedere e cosa fare a Firenze.",2024-03-15,5,Italy,Helpful,solo,True
Julie,"Our guide was called Alberto - he was excellent! Very engaging, extremely knowledgable, clear, inspiring and answered all our questions. I would highly recommend this tour if you are visiting Florence. Book it at tge start of your visit so that you make the most of Alberto’s tips. Thank you for a really enjoyable couple of hours. PS- don’t forget to tip him well! He was worth it!! 😀",2024-03-15,5,United Kingdom,Helpful,a partner or spouse,False
Anonymous,There are no comments available for this review,2024-03-14,5,,,,False
Paolo,Non ci si può aspettare di meglio,2024-03-14,5,,Helpful,a partner or spouse,True
Anonymous,There are no comments available for this review,2024-03-14,4,,,,False
Tanya,There are no comments available for this review,2024-03-13,5,United States,,a partner or spouse,False
Viviana,There are no comments available for this review,2024-03-13,5,Italy,,a partner or spouse,False
Sean,The walking tour was informative and helped get our bearings in the city. It set us with information and expectation of further events we had booked. Stress free tour and enjoyable.,2024-03-12,5,United Kingdom,Helpful,a partner or spouse,False
MARIA ELISABETTA,"La guida ci ha fatto scoprire Firenze con occhi diversi, curiosi…ci ha fatto amare Firenze e scoprire cose che non si leggono sui libri Deborah e la sua grandissima passione che ci ha trasmesso Grazie",2024-03-12,5,Italy,Helpful,a partner or spouse,True
Anonymous,There are no comments available for this review,2024-03-12,5,,,,False
carla,"La nostra guida Manuel, è stata da subito molto brillante e coinvolgente. Il tour proposto è risultato originale e accurato. Via via le spiegazioni di Manuel sono diventate sempre più interessanti e ci hanno permesso di inquadrare il periodo dei Medici e del Rinascimento a tutto tondo. Sono state due ore molto piacevoli. Sicuramente Manuel è una guida molto preparata, colta, e svolge con passione il suo lavoro.",2024-03-11,5,Italy,Helpful,a partner or spouse,True
Natalia,El tour nos pareció super interesante. Aprendes muchas cosas de Florencia. Nosotros lo hicimos el primer día y hasta el último momento que estuvimos en esta hermosa ciudad estuvimos viendo todo lo que nos habia comentado y recomendado la guia. Una maravilla el tour en Español.,2024-03-11,5,Spain,Helpful,a partner or spouse,True
Anonymous,"La guida Deby era molto simpatica e molto, molto brava.",2024-03-11,5,,Helpful,family,True
Aurica,Bellissimo…. Nonostante siamo in carrozzina percorso accessibile….. audiguida preparatissima e coinvolgente…. Abbiamo acquistato dei libri da poter approfondire quello che abbiamo visto e sentito in quanto Firenze storica/arte….. iris……grazie mille,2024-03-10,5,Italy,Helpful,a partner or spouse,True
Giuseppe,"Esperienza bellissima e molto interessante, la guida è stata bravissima a coinvolgere il gruppo e le attrazioni erano davvero fantastiche….da ripetere assolutamente!",2024-03-10,5,Italy,Helpful,a partner or spouse,True
Lindsay,There are no comments available for this review,2024-03-09,5,United Kingdom,,a partner or spouse,False
Valeria,There are no comments available for this review,2024-03-09,5,Italy,,a partner or spouse,False
Francesca,Tour a piedi molto interessante a guida molto competente,2024-03-08,5,Italy,Helpful,friends,True
Elisa,Meraviglioso giro nei vicoli e nei punti più importanti di Firenze immersi nella storia e nei racconti della guida. Lo consiglio a tutti. Un grande ringraziamento alla nostra guida è stata davvero molto gentile. Un esperienza da ripetere,2024-03-08,5,Italy,Helpful,family,True
valentina,There are no comments available for this review,2024-03-08,5,Italy,,solo,False
Gabriel,"A fost un tur foarte interesant, ghidul nostru Manuel a fost ceea ce ne așteptam, o persoană care să ne spună despre istoria orașului și să ne arate locuri care pot fi trecute cu vederea de către turiști. Am ajuns pe niște străduțe și am observat detalii ale clădirilor care mi-ar fi scăpat. Recomand acest tur!",2024-03-07,5,Romania,Helpful,a partner or spouse,True
franco,There are no comments available for this review,2024-03-07,5,Switzerland,,friends,False
Anonymous,There are no comments available for this review,2024-03-07,5,,,,False
Elena,There are no comments available for this review,2024-03-07,5,Croatia,,family,False
Mark,A great guided tour and a very very informative host in Manuel .,2024-03-06,5,United Kingdom,Helpful,a partner or spouse,False
Mauricio,"Lidia, la guía, con su simpatía y alegría nos ha hecho pasear 2h y lo más importante es todo lo que hemos aprendido de Florencia gracias a lo bien que nos ha contado la historia de cada rincón. ¡Recomiendo 100%!",2024-03-04,5,Spain,Helpful,family,True
Barbara,There are no comments available for this review,2024-03-04,5,Italy,,a partner or spouse,False
Rosanna,There are no comments available for this review,2024-03-04,4,Italy,,family,False
Anonymous,There are no comments available for this review,2024-03-04,5,,,,False
hector,There are no comments available for this review,2024-03-03,5,Chile,,a partner or spouse,False
MARIA  DEL CARMEN,"Guía muy preparada, información muy interesante.",2024-03-02,4,Spain,Helpful,friends,True
Arman,There are no comments available for this review,2024-03-02,5,Armenia,,solo,False
Laura,"Lidia fue un encanto, nos contó con detalles todas los monumentos que visitamos y además nos hizo recomendaciones para sitios de comer, ver, etc. Lo recomiendo 🇮🇹👍🏼",2024-03-01,5,Spain,Helpful,a partner or spouse,True
Rodrigo,"Adorei, a guia foi ótima, o passeio teve duração maior do que eu esperava, foi super legal. Mesmo debaixo de chuva, foi ótimo.",2024-02-29,5,Brazil,Helpful,solo,True
Anonymous,È una Guida con una preparazione eccellente su tutti i fronti. Grazie mille per la bella esperienza.,2024-02-28,5,,Helpful,a partner or spouse,True
Anonymous,This was the best walking tour we have ever done. An excellent tour and highly recommended. The tour guide was outstanding.,2024-02-28,5,,Helpful,family,False
Peter_O,Great storytelling by Deborah about the Medici family. It was a really engaging for the whole group.,2024-02-27,5,,Helpful,,False
Annamaria_Q,"Deborah è  stata davvero una guida eccellente. Un modo innovativo di coinvolgere e stimolare l'interesse ai monumenti, alla storia del rinascimenti e ai medici .Bellissimo tour",2024-02-27,5,,Helpful,,True
Davide,"Tutto perfetto, niente scontato!!!",2024-02-26,5,Italy,Helpful,a partner or spouse,True
Melissa,"Assolutamente da provare se ci si trova a Firenze! La guida è bravissima e molto coinvolgente, ci ha raccontato un sacco di cose conosciute e non sulla Firenze ai tempi dei Medici. Organizzare tour di questo tipo è utile ed importante per scoprire le nostre bellissime città italiane rituffandosi nella storia.",2024-02-26,5,Italy,Helpful,a partner or spouse,True
tara_m,Elisabetta Carraro was exceptional. I did 3 tours this trip and hers was the best. She is fun and so interesting. Really explained the history from a human perspective.,2024-02-25,5,,Helpful,,False
Anonymous,"Absolutely loved it! Deborah is so knowledgeable, she managed to show us Florence in a well-paced and witty way. It made a huge difference for my visit.",2024-02-25,5,,Helpful,solo,False
Maria,"Un grazie a Deborah per averci fatto fare un tuffo nel passato nella storia della Bella Firenze! Tour consigliatissimo ! Guida preparata, simpatica e dinamica nonostante fossimo sotto una pioggia scrosciante! Due ore ben spese !",2024-02-25,5,Italy,Helpful,family,True
Bandar,Elizabeth did a great job. She provided informative details during the trips. Thanks a lot!,2024-02-24,5,Saudi Arabia,Helpful,family,False
