Reviewer_Name,Review_Body,Review_Date,Rating,Country,Helpful_Tag,Travel Category,Require_Translate,City,Attraction_Rank,Is_Commented,Sentiment_Score,Year_Month
Sylvie,No welcome and self-guided support🥴,2023-01-01,3,France,Helpful,,True,Barcelona,top1,True,0.0567,2023-01
Dobromir,There are no comments available for this review,2023-01-01,4,Bulgaria,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Paolo,Audio guide not present and not explained,2023-01-02,3,Switzerland,Helpful,,True,Barcelona,top1,True,0.0,2023-01
Fadhil,Too many steps to get only to the ground floor Price too high: -No access to the upper floors. -Work not mentioned on the website. The cathedral is very beautiful.,2023-01-02,2,Switzerland,Helpful,,True,Barcelona,top1,True,0.6361,2023-01
Brunella,There are no comments available for this review,2023-01-02,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Françoise,There are no comments available for this review,2023-01-02,4,France,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Gabi,"Bad, booked with audio but it was simply not possible to download the necessary app. This happened to a lot of people! A very high price for little in return.",2023-01-02,1,Switzerland,Helpful,,True,Barcelona,top1,True,-0.3699,2023-01
Vaccara,There are no comments available for this review,2023-01-03,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Arnd u. Petra,There are no comments available for this review,2023-01-03,5,Austria,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Tarek,There are no comments available for this review,2023-01-03,5,Lebanon,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Goran,"Since we had a very long journey from San Cagut to Barcelona, ​​we arrived 2 hours late. Even though we had tickets worth almost 70 euros, they didn't let us in due to the delay. I immediately sent an email to Booking to see if they could help us further, but so far there has been no response. We are now back in Vienna and really regret that we didn't see the church from the inside. I hope that we get some of the money back from the Ruzicic family",2023-01-03,2,Austria,Helpful,,True,Barcelona,top1,True,-0.3484,2023-01
Davide,There are no comments available for this review,2023-01-03,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
SOOJEONG,"I took the subway up the hill and came to the entrance, but the ticket booth was always online. I tried to purchase it from QR Code's official website, but I kept getting errors, so I bought it from Klook, although the price was a bit more expensive. Since it was a timed entry, I was worried that I would have to wait until the designated time, and since January 1st was a public holiday, I was nervous that I would not receive a Klook reservation confirmation. I received the confirmed QR code 10 minutes later and entered right away even though it was earlier than the reservation time. Well used.",2023-01-03,5,,Helpful,,True,Barcelona,top2,True,-0.3291,2023-01
SOOJEONG,"I took the subway up the hill and came to the entrance, but the ticket booth was always online. I tried to purchase it from QR Code's official website, but I kept getting errors, so I bought it from Klook, although the price was a bit more expensive. Since it was a timed entry, I was worried that I would have to wait until the designated time, and since January 1st was a public holiday, I was nervous that I would not receive a Klook reservation confirmation. I received the confirmed QR code 10 minutes later and entered right away even though it was earlier than the reservation time. Well used.",2023-01-03,5,,Helpful,,True,Barcelona,top2,True,-0.3291,2023-01
Antonio,"Visiting the Sagrada Família was one of the most exciting things I did in Barcelona. I really appreciated the audio guide, having an explanation while admiring Gaudì's masterpiece was fundamental.",2023-01-05,5,Italy,Helpful,,True,Barcelona,top1,True,0.9298,2023-01
Ana,There are no comments available for this review,2023-01-05,5,Portugal,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
anna,"All perfect. Helpful, efficient and friendly staff",2023-01-06,5,Italy,Helpful,,True,Barcelona,top1,True,0.91,2023-01
cannavale,There are no comments available for this review,2023-01-07,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Mélanie,Gorgeous !!,2023-01-08,5,France,Helpful,,True,Barcelona,top1,True,0.6792,2023-01
Charles,There are no comments available for this review,2023-01-08,5,Luxembourg,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Mariaelena,There are no comments available for this review,2023-01-08,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Anonymous,There are no comments available for this review,2023-01-09,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Veronica,There are no comments available for this review,2023-01-09,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
LAURA,There are no comments available for this review,2023-01-09,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Robert,There are no comments available for this review,2023-01-09,5,Australia,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
ricardo,There are no comments available for this review,2023-01-10,5,Portugal,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Gustavo Javier,There are no comments available for this review,2023-01-10,5,Italy,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Jolie,An absolutely unique experience,2023-01-10,3,Italy,Helpful,,True,Barcelona,top1,True,0.0,2023-01
Adriaan,There are no comments available for this review,2023-01-10,5,Netherlands,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Andre,TO VISIT ABSOLUTELY HOWEVER NOT ALL TICKETS GIVE ACCESS TO THE ELEVATORS OF THE TOWERS,2023-01-10,4,,Helpful,,True,Barcelona,top1,True,0.0,2023-01
John,"The access to actually download tickets and enter was not easy. If you can’t get your internet to hook up, you’re out of luck. The church itself is, of course, worth the efforts.",2023-01-10,4,Spain,Helpful,,False,Barcelona,top1,True,0.3599,2023-01
Henk,There are no comments available for this review,2023-01-10,5,Switzerland,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Dora,There are no comments available for this review,2023-01-10,5,United States,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
HUI CHI,"Mosaic Park is a bit boring. If you have free time, come and take a look. If you don’t have time, you can skip this attraction. You don’t have to come. You can just go and see other works by Gaudí.",2023-01-10,3,,Helpful,,True,Barcelona,top2,True,0.6705,2023-01
HUI CHI,"Mosaic Park is a bit boring. If you have free time, come and take a look. If you don’t have time, you can skip this attraction. You don’t have to come. You can just go and see other works by Gaudí.",2023-01-10,3,,Helpful,,True,Barcelona,top2,True,0.6705,2023-01
HSI EN,"Park Guell is conveniently located. Although you have to walk uphill to enter the park, you can see many details in the park. There are many distinctive and colorful architectural sculptures, like a real version of the candy house, which is simply amazing when paired with the scenery of Barcelona. So beautiful!",2023-01-11,5,,Helpful,,True,Barcelona,top2,True,0.9115,2023-01
HSI EN,"Park Guell is conveniently located. Although you have to walk uphill to enter the park, you can see many details in the park. There are many distinctive and colorful architectural sculptures, like a real version of the candy house, which is simply amazing when paired with the scenery of Barcelona. So beautiful!",2023-01-11,5,,Helpful,,True,Barcelona,top2,True,0.9115,2023-01
Ting,There are no comments available for this review,2023-01-13,4,Australia,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Maximiliano,There are no comments available for this review,2023-01-13,5,Argentina,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Maria,It is a wonderful work. Different from any church,2023-01-14,5,Argentina,Helpful,,True,Barcelona,top1,True,0.5719,2023-01
Ingemar,There are no comments available for this review,2023-01-14,5,Sweden,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Guillermo horacio,Excellent simply spectacular mind,2023-01-15,5,Spain,Helpful,,True,Barcelona,top1,True,0.5719,2023-01
Tianming,There are no comments available for this review,2023-01-15,5,Portugal,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Rafael,There are no comments available for this review,2023-01-16,5,Portugal,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
jonggeon,Arrive at the photo point reservation time and enter immediately.,2023-01-16,4,,Helpful,,True,Barcelona,top2,True,0.0,2023-01
jonggeon,Arrive at the photo point reservation time and enter immediately.,2023-01-16,4,,Helpful,,True,Barcelona,top2,True,0.0,2023-01
Massironi,"Everything was perfect, thank you very much",2023-01-17,4,Italy,Helpful,,True,Barcelona,top1,True,0.7351,2023-01
Marie-Jo,For the fourth time I've visited it and still amazed 🙏,2023-01-18,5,Luxembourg,Helpful,,True,Barcelona,top1,True,0.4939,2023-01
Irene Maria,There are no comments available for this review,2023-01-18,3,Austria,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Anonymous,"The park itself is so beautiful ☺️ The scenery from the lookout is beautiful
This park is built along the mountain. Wear comfortable shoes and require some physical strength.
It is recommended to reserve an afternoon or morning for a walk",2023-01-18,5,,Helpful,,True,Barcelona,top2,True,0.966,2023-01
Anonymous,"The park itself is so beautiful ☺️ The scenery from the lookout is beautiful
This park is built along the mountain. Wear comfortable shoes and require some physical strength.
It is recommended to reserve an afternoon or morning for a walk",2023-01-18,5,,Helpful,,True,Barcelona,top2,True,0.966,2023-01
Tetiana,Unforgettable impressions from the visit. Nature is intertwined with the architectural talent of the architect Gaudí. Great!!! I recommend everyone who is planning their vacation in Barcelona to visit the Sagrada Familia.,2023-01-19,5,Poland,Helpful,,True,Barcelona,top1,True,0.9037,2023-01
Nathalie,There are no comments available for this review,2023-01-19,5,France,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
SHIHCHI,"In addition to seeing the creativity and ingenuity of Gaudi's works, you can also see the Sagrada Familia as you walk down the hill, and you can also overlook the sea outside Barcelona.",2023-01-19,5,,Helpful,,True,Barcelona,top2,True,0.3818,2023-01
SHIHCHI,"In addition to seeing the creativity and ingenuity of Gaudi's works, you can also see the Sagrada Familia as you walk down the hill, and you can also overlook the sea outside Barcelona.",2023-01-19,5,,Helpful,,True,Barcelona,top2,True,0.3818,2023-01
Eric,If the Sagrada Familia is extraordinary the security service at the entrance is execrable Worse than all airports... take off your watch your belt your glasses having 2 prosthetic knees and hips I had the right to take off my shoes to check nothing my backpack was emptied the batteries of my camera analyzed.... I have not seen this in any other museum in the world nor in any airport even in the USA.... it spoils the magnificent view a little visit given the time passed and we already had our tickets,2023-01-21,4,France,Helpful,,True,Barcelona,top1,True,0.3612,2023-01
Anonymous,An architectural masterpiece in progress that's an absolute must-see. Audio guide was easy to use and very informative.,2023-01-21,5,,Helpful,,False,Barcelona,top1,True,0.8689,2023-01
Beverley,There are no comments available for this review,2023-01-22,5,Spain,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
ZULMIRA,There are no comments available for this review,2023-01-23,5,Portugal,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
Abed,"Very disappointed, at no time were we told how it was going to get the audio guide to which we were entitled, nor the supplement of 10€ each to access the floor in addition to the 32€ entry each. The place is incredible but access to the different floors was impossible (10€), the bottom was also closed to the public, too bad. farida. on 01/21/2023",2023-01-23,1,,Helpful,,True,Barcelona,top1,True,-0.798,2023-01
Anonymous,There are no comments available for this review,2023-01-23,5,,,,False,Barcelona,top1,False,0.5069174783641891,2023-01
NAOKO,"The interior had many Gaudi-like decorations.

The view from the top of the paid part of the park was wonderful, overlooking the city.

Since the number of tourists is increasing, we recommend getting the first ticket in the morning and taking photos at the photo spot first.

I was the first ticket in the morning, but since I went around from the park side, the photo spots were crowded.",2023-01-23,5,,Helpful,,True,Barcelona,top2,True,0.5647,2023-01
NAOKO,"The interior had many Gaudi-like decorations.

The view from the top of the paid part of the park was wonderful, overlooking the city.

Since the number of tourists is increasing, we recommend getting the first ticket in the morning and taking photos at the photo spot first.

I was the first ticket in the morning, but since I went around from the park side, the photo spots were crowded.",2023-01-23,5,,Helpful,,True,Barcelona,top2,True,0.5647,2023-01
